ts_code,symbol,name,area,industry,market,list_date
516650.SH,516650,有色金属ETF基金,,T+1交易,ETF,20210621
513360.SH,513360,教育ETF,,T+1交易,ETF,20210617
516380.SH,516380,智能电动车ETF,,T+1交易,ETF,20210618
516390.SH,516390,新能源汽车ETF,,T+1交易,ETF,20210618
159897.SZ,159897,物联网ETF基金,,T+1交易,ETF,20210621
516910.SH,516910,物流ETF,,T+1交易,ETF,20210611
159898.SZ,159898,医疗器械指数ETF,,T+1交易,ETF,20210604
159891.SZ,159891,医疗ETF基金,,T+1交易,ETF,20210615
159703.SZ,159703,新材料ETF,,T+1交易,ETF,20210608
516320.SH,516320,高端装备ETF,,T+1交易,ETF,20210608
516480.SH,516480,新材料ETF基金,,T+1交易,ETF,20210611
159741.SZ,159741,恒生科技ETF嘉实,,T+0交易,ETF,20210603
159735.SZ,159735,港股消费ETF,,T+0交易,ETF,20210604
513130.SH,513130,恒生科技ETF,,T+0交易,ETF,20210601
516310.SH,516310,银行ETF易方达,,T+1交易,ETF,20210528
517350.SH,517350,沪港深科技ETF广发,,T+1交易,ETF,20210603
513580.SH,513580,恒生科技ETF指数基金,,T+0交易,ETF,20210527
159740.SZ,159740,恒生科技ETF,,T+0交易,ETF,20210527
513180.SH,513180,恒生科技指数ETF,,T+0交易,ETF,20210525
513010.SH,513010,恒生科技ETF易方达,,T+0交易,ETF,20210525
159742.SZ,159742,恒生科技指数ETF,,T+0交易,ETF,20210525
159888.SZ,159888,智能车ETF,,T+1交易,ETF,20210521
159887.SZ,159887,银行ETF,,T+1交易,ETF,20210520
513690.SH,513690,港股红利ETF博时,,T+0交易,ETF,20210520
516700.SH,516700,大数据产业ETF,,T+1交易,ETF,20210519
159836.SZ,159836,创业板300ETF天弘,,T+1交易,ETF,20210525
516360.SH,516360,新材料ETF,,T+1交易,ETF,20210513
516590.SH,516590,智能汽车ETF易方达,,T+1交易,ETF,20210512
516950.SH,516950,基建ETF,,T+1交易,ETF,20210514
159702.SZ,159702,AIETF,,T+1交易,ETF,20210518
516610.SH,516610,医疗服务ETF,,T+1交易,ETF,20210513
159883.SZ,159883,医疗器械ETF,,T+1交易,ETF,20210430
516900.SH,516900,食品饮料ETF基金,,T+1交易,ETF,20210428
159886.SZ,159886,机械ETF,,T+1交易,ETF,20210428
516070.SH,516070,低碳ETF易方达,,T+1交易,ETF,20210423
516110.SH,516110,汽车ETF,,T+1交易,ETF,20210507
517170.SH,517170,沪港深ETF,,T+1交易,ETF,20210420
516960.SH,516960,机械ETF,,T+1交易,ETF,20210507
159885.SZ,159885,碳中和ETF基金,,T+1交易,ETF,20210414
516330.SH,516330,物联网ETF,,T+1交易,ETF,20210409
516550.SH,516550,农业ETF,,T+1交易,ETF,20210408
516510.SH,516510,云计算ETF,,T+1交易,ETF,20210407
159890.SZ,159890,云计算ETF,,T+1交易,ETF,20210402
159866.SZ,159866,日经ETF,,T+0交易,ETF,20210408
159861.SZ,159861,碳中和50ETF,,T+1交易,ETF,20210402
513060.SH,513060,恒生医疗ETF,,T+0交易,ETF,20210329
